,frame_name,compound,Concentration,Log Concentration,Response,Error,Normalized
0,TRno135.CSV,Leflun_10,5.6450292694767624e-11,-10.248333801916287,315527.5,300.5,1.0
1,TRno135.CSV,Leflun_10,1e-05,-5.0,165561.0,4348.0,0.5227959584516998
2,TRno135.CSV,Leflun_10,3.3333333333333337e-06,-5.477121254719663,167287.0,2621.0,0.5282882128932741
3,TRno135.CSV,Leflun_10,1.1111111111111112e-06,-5.954242509439325,165972.0,2220.0,0.5241037896078337
4,TRno135.CSV,Leflun_10,3.703703703703704e-07,-6.431363764158987,162967.0,890.0,0.5145416664346406
5,TRno135.CSV,Leflun_10,1.234567901234568e-07,-6.9084850188786495,205645.0,4461.0,0.6503460899905572
6,TRno135.CSV,Leflun_10,4.11522633744856e-08,-7.385606273598312,225126.5,7467.5,0.712337604998397
7,TRno135.CSV,Leflun_10,1.3717421124828534e-08,-7.862727528317975,306931.0,728.0,0.9726453271686012
8,TRno135.CSV,Leflun_10,4.572473708276178e-09,-8.339848783037636,304176.0,7147.0,0.9638787217302829
9,TRno135.CSV,Leflun_10,1.524157902758726e-09,-8.816970037757299,311458.5,5357.5,0.9870521533471807
10,TRno135.CSV,Leflun_10,5.080526342529086e-10,-9.294091292476962,295031.5,6107.5,0.934780274024039
11,TRno135.CSV,Leflun_10,1.6935087808430288e-10,-9.771212547196624,314298.5,2280.5,0.9960892348153564
12,TRno135.CSV,Leflun_5,5.6450292694767624e-11,-10.248333801916287,311324.5,655.5,1.0
13,TRno135.CSV,Leflun_5,1e-05,-5.0,72966.5,646.5,0.2312464371556589
14,TRno135.CSV,Leflun_5,3.3333333333333337e-06,-5.477121254719663,72686.0,488.0,0.23034176697728084
15,TRno135.CSV,Leflun_5,1.1111111111111112e-06,-5.954242509439325,72670.5,1173.5,0.2302917762900621
16,TRno135.CSV,Leflun_5,3.703703703703704e-07,-6.431363764158987,72322.5,1510.5,0.22916940473186043
17,TRno135.CSV,Leflun_5,1.234567901234568e-07,-6.9084850188786495,72799.0,887.0,0.23070621521313367
18,TRno135.CSV,Leflun_5,4.11522633744856e-08,-7.385606273598312,74834.0,559.0,0.23726950866411176
19,TRno135.CSV,Leflun_5,1.3717421124828534e-08,-7.862727528317975,78911.0,637.0,0.25041867200545703
20,TRno135.CSV,Leflun_5,4.572473708276178e-09,-8.339848783037636,152943.0,15621.0,0.4891870949847246
21,TRno135.CSV,Leflun_5,1.524157902758726e-09,-8.816970037757299,295534.5,3968.5,0.9490740031494133
22,TRno135.CSV,Leflun_5,5.080526342529086e-10,-9.294091292476962,301584.0,6053.0,0.9685848845900481
23,TRno135.CSV,Leflun_5,1.6935087808430288e-10,-9.771212547196624,313045.0,481.0,1.0055489662812815
24,TRno135.CSV,B508,5.6450292694767624e-11,-10.248333801916287,307571.5,12767.5,1.0
25,TRno135.CSV,B508,1e-05,-5.0,175100.0,1772.0,0.567517317312252
26,TRno135.CSV,B508,3.3333333333333337e-06,-5.477121254719663,203255.0,11280.0,0.6594355784557699
27,TRno135.CSV,B508,1.1111111111111112e-06,-5.954242509439325,195389.0,12033.0,0.6337552715065633
28,TRno135.CSV,B508,3.703703703703704e-07,-6.431363764158987,215114.5,248.5,0.6981535545890163
29,TRno135.CSV,B508,1.234567901234568e-07,-6.9084850188786495,216083.0,3697.0,0.7013154383012343
30,TRno135.CSV,B508,4.11522633744856e-08,-7.385606273598312,217221.5,1671.5,0.7050323248333563
31,TRno135.CSV,B508,1.3717421124828534e-08,-7.862727528317975,206055.0,6477.0,0.6685768013718364
32,TRno135.CSV,B508,4.572473708276178e-09,-8.339848783037636,238637.0,1362.0,0.7749479888901495
33,TRno135.CSV,B508,1.524157902758726e-09,-8.816970037757299,285600.5,13553.5,0.9282707826111087
34,TRno135.CSV,B508,5.080526342529086e-10,-9.294091292476962,300897.0,6764.0,0.9782096098738267
35,TRno135.CSV,B508,1.6935087808430288e-10,-9.771212547196624,311761.0,2452.0,1.0136775547881645
