,1,2,3,4,5,6,7,8,9,10,11,12,
A,895457,831439,831405,914532,948866,951158,936028,828927,971757,1013876,1050177,1027583,Lum
B,1165261,52785,97281,186822,251423,344898,520963,765387,920252,1083892,1089511,1080744,Lum
C,972317,51770,101831,181398,235968,329905,460153,691853,823984,938436,1002491,1042056,Lum
D,1187781,45845,85554,204040,225539,323102,492962,832006,886595,1006696,1083503,1164987,Lum
E,1085096,23263,16401,14153,10150,20780,101762,308285,574509,858479,977471,1057546,Lum
F,1128797,23611,12468,13646,7791,25927,155283,378111,671841,897350,1074111,1085536,Lum
G,1026926,20442,14752,9577,8062,17874,90151,300061,597733,806481,1099124,964186,Lum
H,5217,8061,2518,1991,2063,2156,3472,5064,7708,10597,11248,12097,Lum
